job_id,source_id,job_title,company_name,level,experience_raw,updated_at,deadline,location,job_url,skills_raw
ITV_5911,ITV,Middle/Senior Java Engineer,NAB Innovation Centre Vietnam,Middle | Senior,4+ year,08/08/2026,12/09/2026,"The Hallmark, 15 Tran Bach Dang, An Khanh Ward, An Khánh, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/middle-senior-java-engineer-nab-innovation-centre-vietnam-5911,Java | Spring Boot | Microservices | Cloud | Spring | AWS
ITV_1717,ITV,Mid/Sr Java Developer English Required - Up to 3200,"Rakuten Fintech Vietnam Co., Ltd.",,5+ year,08/08/2026,12/09/2026,"24th-25th Floor, A&B Tower, 76A Le Lai Street, Ben Thanh Ward, Bến Thành, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-1717,Java | Unit test | Spring Boot | Spring | SQL | English
ITV_4640,ITV,"Mid/Sr Java Engineer SpringBoot, Microservices- BONUS",EPAM Vietnam,,5 year,31/07/2026,04/09/2026,"Remotely, Floor 13, MB Sunny Tower, 259 Tran Hung Dao, Cầu Ông Lãnh, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/mid-sr-java-engineer-springboot-microservices-bonus-epam-vietnam-4640,Java | CI/CD | Cloud | Microservices | Spring Boot
ITV_0950,ITV,"Mid-Senior Java Backend Developer Spring, English",LOGICENTRA,Senior,3 years,14/08/2026,18/09/2026,"Toà nhà 678, 67 Hoàng Văn Thái, Phường Tân Mỹ, Tân Mỹ, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/mid-senior-java-backend-developer-spring-english-logicentra-0950,Java | Bash Shell | Spring Boot | Oracle | SQL | English
ITV_3510,ITV,Senior Fullstack DeveloperAI/Java/ Kotlin/Spring Boot,CÔNG TY TNHH AU PROFESSIONAL VIETNAM,Senior,5+ year,31/07/2026,04/09/2026,"Phòng 4.01, 16 Phan Chu Trinh, Phường Cửa Nam, Hà Nội",https://itviec.com/viec-lam-it/senior-fullstack-developer-ai-java-kotlin-spring-boot-cong-ty-tnhh-au-professional-vietnam-3510,Java | AI | ReactJS | SQL | Spring Boot | Kotlin
ITV_1053,ITV,AI-Powered Principal Fullstack Engineer Java/Go/RoR,"MONEY FORWARD VIETNAM CO.,LTD",,8 year,14/08/2026,18/09/2026,"Tòa nhà E.Town Central, Số 11 Đoàn Văn Bơ, Xóm Chiếu, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/ai-powered-principal-fullstack-engineer-java-go-ror-money-forward-vietnam-co-ltd-1053,Java | ReactJS | Golang | Ruby on Rails | AI
ITV_4634,ITV,Senior Java Backend Developer Spring Boot,VNEXT SOFTWARE,Senior,5 năm kinh nghiệm,06/08/2026,10/09/2026,"Tầng 17, 18, 19 Tòa Central Point, 219 Trung Kính, Yên Hòa, Hà Nội",https://itviec.com/viec-lam-it/senior-java-backend-developer-spring-boot-vnext-software-4634,Java | Docker | Kafka | SQL | Microservices | Spring Boot
ITV_5009,ITV,"Middle Fullstack DeveloperJava, PHP, Flutter, AI",Pacific Cross Vietnam,Middle,3 year,13/08/2026,17/09/2026,"6th Floor, VNPT Building, 1487 Nguyen Van Linh, Tan Hung Ward, Tân Hưng, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/middle-fullstack-developer-java-php-flutter-ai-pacific-cross-vietnam-5009,Java | JavaScript | NextJS | Spring Boot | Laravel | PHP
ITV_2426,ITV,Senior Backend Engineer Python/Java/Go,LARION,Senior,5+ year,13/08/2026,17/09/2026,"QTSC Building 1, Quang Trung Software City, Trung Mỹ Tây, TP Hồ Chí Minh",https://itviec.com/viec-lam-it/senior-backend-engineer-python-java-go-larion-2426,Python | Java | Golang | Linux | PHP | English
ITV_0022,ITV,HN Senior Java Engineer,NAB Innovation Centre Vietnam,Senior,,29/07/2026,02/09/2026,"The Capital Place, 29 Lieu Giai Street, Ngoc Ha Ward, Hanoi City, Vietnam, Ngọc Hà, Hà Nội",https://itviec.com/viec-lam-it/hn-senior-java-engineer-nab-innovation-centre-vietnam-0022,Java | ReactJS | Spring Boot | AI | Cloud | JavaScript
